skill,Accounting and Finance,Administrative,"Construction, Manufacturing, and Skilled Labor",Education,"Engineering, Architecture, and Design","Food, Travel, and Entertainment",Health Care,Information Technology,Law,Management and Consulting,Non-profit,Retail,"Sales, Marketing, and Customer Service",Science and Research,Transportation
security policy,0.0,3.0,0.0,0.0,0.0,2.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
sed,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
seismic analysis,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
self-sufficiency,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,16.0,0.0,3.0,0.0,0.0
sensitivity analysis,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serial communication,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serology,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
service design,0.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
service level agreement,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
service orientation,9.0,10.0,1.0,1.0,2.0,2.0,1.0,7.0,2.0,1.0,2.0,3.0,7.0,0.0,4.0
service-oriented architecture,0.0,1.0,0.0,0.0,2.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
session management,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sewage,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sharepoint,2.0,9.0,1.0,0.0,3.0,1.0,3.0,51.0,1.0,6.0,1.0,0.0,1.0,0.0,0.0
shell script,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shipping software,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shop drawing,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
siebel crm,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
signal analysis software,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
